"id","ts","target_ts","input_cpu","input_ram","input_rps","predicted_cpu","actual_cpu","horizon_seconds","model_version"
1587,"2026-03-27 12:41:15.308889+00","2026-03-27 12:42:15.308889+00",0.0024979875594495684,49.3984375,0.32,0.003433849073342663,1.3144762501741258,60,"v20260326-204532-4583"
1588,"2026-03-27 12:41:25.383596+00","2026-03-27 12:42:25.383596+00",0.0024353509370495952,49.890625,0.32,0.0027145639489236984,1.5384868298729122,60,"v20260326-204532-4583"
1589,"2026-03-27 12:41:30.339539+00","2026-03-27 12:42:30.339539+00",0.0024353509370495952,49.890625,0.6000000000000001,0.00540437667815885,1.1310955173225652,60,"v20260326-204532-4583"
1590,"2026-03-27 12:41:35.341848+00","2026-03-27 12:42:35.341848+00",0.08653690531109866,50.16796875,1.2,0.1502176227908197,1.2066452069888338,60,"v20260326-204532-4583"
1591,"2026-03-27 12:41:40.328273+00","2026-03-27 12:42:40.328273+00",0.1260460349735615,50.16796875,2.079916803327867,0.25574263226793914,1.2066452069888338,60,"v20260326-204532-4583"
1592,"2026-03-27 12:41:45.33534+00","2026-03-27 12:42:45.33534+00",0.1260460349735615,50.16796875,4.04,0.3162764660720731,0.7908352686604816,60,"v20260326-204532-4583"
1593,"2026-03-27 12:41:50.319115+00","2026-03-27 12:42:50.319115+00",0.07982705471600608,50.16796875,6.71973121075157,0.1874761039044486,0.46596222395427395,60,"v20260326-204532-4583"
1594,"2026-03-27 12:41:55.313263+00","2026-03-27 12:42:55.313263+00",0.6395420271142843,50.7265625,10.0,0.9756995455120161,0.46596222395427395,60,"v20260326-204532-4583"
1595,"2026-03-27 12:42:00.337536+00","2026-03-27 12:43:00.337536+00",0.6395420271142843,50.7265625,13.719999999999999,1.1387389979892883,0.13029644478062938,60,"v20260326-204532-4583"
1596,"2026-03-27 12:42:05.318475+00","2026-03-27 12:43:05.318475+00",1.3144762501741258,51.515625,17.840713628545142,1.2471555932694214,0.13029644478062938,60,"v20260326-204532-4583"
1597,"2026-03-27 12:42:10.348761+00","2026-03-27 12:43:10.348761+00",1.3144762501741258,51.515625,21.039158433662653,1.2758892651723677,0.13029644478062938,60,"v20260326-204532-4583"
1598,"2026-03-27 12:42:15.336784+00","2026-03-27 12:43:15.336784+00",1.3144762501741258,51.515625,23.800952038081522,1.4334817894103127,0.28618739359385675,60,"v20260326-204532-4583"
1599,"2026-03-27 12:42:25.36689+00","2026-03-27 12:43:25.36689+00",1.5384868298729122,51.03515625,26.0,1.6736402912224109,0.7064543565713302,60,"v20260326-204532-4583"
1600,"2026-03-27 12:42:30.331021+00","2026-03-27 12:43:30.331021+00",1.1310955173225652,51.03515625,25.078996840126397,1.435874945073464,0.7064543565713303,60,"v20260326-204532-4583"
