,id,ts,target_ts,resource,input_value,predicted_value,actual_value,horizon_seconds,model_version
8349,8251,2026-03-07 05:19:36.774586+00:00,2026-03-07 05:20:36.774586+00,cpu,0.0072668358383812,0.0653236731886863,0.0078110877321325,60,v20260306-_tuned_20260306-181039-0246
8350,8252,2026-03-07 05:19:36.786989+00:00,2026-03-07 05:20:36.786989+00,ram,39.578125,49.85470581054688,39.12890625,60,v20260306-_tuned_20260306-181039-0246
8351,8253,2026-03-07 05:19:36.801568+00:00,2026-03-07 05:20:36.801568+00,rps,34.619307613847724,543.158935546875,37.32,60,v20260306-_tuned_20260306-181039-0246
8293,8254,2026-03-07 05:19:51.751809+00:00,2026-03-07 05:20:51.751809+00,cpu,0.0073589372669548,0.0651476383209228,0.0079602025160943,60,v20260306-_tuned_20260306-181039-0246
8294,8255,2026-03-07 05:19:51.765774+00:00,2026-03-07 05:20:51.765774+00,ram,39.5703125,49.84232711791992,39.6015625,60,v20260306-_tuned_20260306-181039-0246
8295,8256,2026-03-07 05:19:51.779234+00:00,2026-03-07 05:20:51.779234+00,rps,34.36,542.6472778320312,37.06,60,v20260306-_tuned_20260306-181039-0246
8352,8257,2026-03-07 05:20:06.747032+00:00,2026-03-07 05:21:06.747032+00,cpu,0.0061490631995702,0.0651168376207351,0.0076479966231797,60,v20260306-_tuned_20260306-181039-0246
8353,8258,2026-03-07 05:20:06.758952+00:00,2026-03-07 05:21:06.758952+00,ram,39.5703125,49.83439254760742,39.5390625,60,v20260306-_tuned_20260306-181039-0246
8354,8259,2026-03-07 05:20:06.771579+00:00,2026-03-07 05:21:06.771579+00,rps,35.09929801403972,543.04833984375,35.96,60,v20260306-_tuned_20260306-181039-0246
8296,8260,2026-03-07 05:20:21.765864+00:00,2026-03-07 05:21:21.765864+00,cpu,0.007594448599683,0.0654557347297668,0.004920375000006,60,v20260306-_tuned_20260306-181039-0246
8297,8261,2026-03-07 05:20:21.779388+00:00,2026-03-07 05:21:21.779388+00,ram,39.8828125,49.848628997802734,39.79296875,60,v20260306-_tuned_20260306-181039-0246
